Job,Company,Location,Status,Date
risk analyst risk projects unit,BRD - Groupe Societe Generale,Bucharest,Actively Hiring,2023-07-25
managing director mfd romania,BayWa r.e. EMEA,Bucharest,Actively Hiring,2023-08-24
accounting reporting analyst fmd,SIG Group,Cluj-Napoca,Be an early applicant,2023-10-23
general accountant english,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
shana finance innovation specialist,SAP Fioneer,Cluj-Napoca,Be an early applicant,2023-11-19
payment specialist,Adecco,Bucharest,Actively Hiring,2023-11-15
principal reporting analyst,PTC,Bucharest,Be an early applicant,2023-11-19
regulatory reporting analyst,Societe Generale Global Solution Centre Romania,Bucharest,Be an early applicant,2023-11-20
financial analyst,ARRISE powering Pragmatic Play,Bucharest,Be an early applicant,2023-11-18
deal flow analyst acquisitions accelerator bu,SellerPlex,Romania,Be an early applicant,2023-11-19
ifrs specialist,PwC Romania,Bucharest,Be an early applicant,2023-11-15
trade finance professional,Euro Exim Bank,Romania,Be an early applicant,2023-11-16
treasury reporting analyst,888Sparkware,Bucharest,Be an early applicant,2023-08-24
senior engineer,Deutsche Bank,Bucharest,Be an early applicant,2023-11-15
sr accountant,MetaWealth™,Bucharest,Be an early applicant,2023-11-21
accounts receivable english,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-25
business development manager,Hexing Group,Timişoara,Be an early applicant,2023-11-19
function controller,Worldline,Bucharest,Be an early applicant,2023-11-17
manager financial services audit,PwC Romania,Bucharest,Be an early applicant,2023-11-08
senior auditor,Mazars in Romania,Bucharest,Actively Hiring,2023-11-08
project finance accountant,Ericsson,Bucharest,Be an early applicant,2023-11-15
chief accountant,Professional HR Agency,Cluj-Napoca,Be an early applicant,2023-11-08
payment flows services specialist,Worldline,Bucharest,Actively Hiring,2023-11-08
deputy manager audit financial services,PwC Romania,Bucharest,Be an early applicant,2023-11-08
junior financial controller,Worldline,Bucharest,Be an early applicant,2023-10-23
financial accountant senior analyst,Accenture,Bucharest,Be an early applicant,2023-11-20
accounting tax compliance manager,PwC Romania,Bucharest,Actively Hiring,2023-10-23
financial controller,GEA Group,Cluj-Napoca,Be an early applicant,2023-11-20
senior commercial controller,Siemens Energy,Bucharest,Be an early applicant,2023-11-15
local regulatory reporting analyst,Societe Generale Global Solution Centre Romania,Bucharest,Actively Hiring,2023-11-15
buyer corporate services,Alstom,Cluj-Napoca,Be an early applicant,2023-11-21
accountant exciting opportunity rapidly expanding romanian city,Antal International,Alba Iulia,Be an early applicant,2023-10-23
internal control analyst,LeasePlan,Bucharest,Be an early applicant,2023-11-18
financial accountant sap fi,Kardex,Timisoara Metropolitan Area,Actively Hiring,2023-11-15
junior accounts payable accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-09-23
manager capital markets accounting advisory services fs,PwC Romania,Bucharest,Be an early applicant,2023-11-15
manager accounting advisory services omfp ifrs,PwC Romania,Bucharest,Actively Hiring,2023-11-08
regional sales manager romania,OPSWAT,Timişoara,Actively Hiring,2023-11-15
junior accountant,Impresa Pizzarotti & C. S.p.A.,Bucharest,Not specified,2023-11-08
ifrs group reporting specialist,MedLife SA,Bucharest,Not specified,2023-11-08
back office assistant bb,IHM Total Consult,Bucharest,Be an early applicant,2023-10-23
data protection privacy specialist,_VOIS,Bucharest,Actively Hiring,2023-10-23
collections analyst french,Oracle,Bucharest,Actively Hiring,2023-11-15
data scientist risk,Revolut,Romania,Actively Hiring,2023-11-15
senior associate accounting advisory services omfp ifrs,PwC Romania,Bucharest,Actively Hiring,2023-11-08
retail banking officer craiova,First Bank SA,Craiova,Be an early applicant,2023-11-15
head finance plant buzias,Siemens,Buziaș,Be an early applicant,2023-10-28
finance accounting specialist,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-17
specialist middle office non retail bc bucuresti sud,BRD - Groupe Societe Generale,Bucharest,Be an early applicant,2023-09-23
global head sales finance services industry,Canonical,Cluj-Napoca,Be an early applicant,2023-07-25
billing accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
treasury accounting specialist,BAT,Bucharest,Actively Hiring,2023-11-01
regional manager romania,Tarfin,Bacău,Actively Hiring,2023-11-15
administrative support specialist,Vertify,Bucharest,Actively Hiring,2023-09-23
manager audit assurance,PwC Romania,Bucharest,Actively Hiring,2023-11-15
interim managing director mfd romania,Morgan Philips Group,Romania,Actively Hiring,2023-11-20
product marketing manager,Tradeshift,Bucharest,Not specified,2023-11-20
project manager,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
project development manager,Leap29,Bucharest,Actively Hiring,2023-11-19
financial sales consultant,NN Group,Bucharest Metropolitan Area,Be an early applicant,2023-11-15
senior operational risk officer,First Bank SA,Bucharest,Be an early applicant,2023-11-17
senior finance analyst,Honeywell,Bucharest,Be an early applicant,2023-11-18
financial controller,Autoliv,Braşov,Actively Hiring,2023-11-20
senior accountant,North Bucharest Investments,Bucharest,Be an early applicant,2023-11-20
general ledger accountant,"Cameron, a Schlumberger company",Bucharest,Be an early applicant,2023-10-23
power bi reporting coordinator,Adecco,Cluj-Napoca,Actively Hiring,2023-11-15
customer data analyst,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
continuous improvement process expert accounts payables,Bosch Romania,Timişoara,Be an early applicant,2023-11-01
junior consultant transfer pricing controversy,PwC Romania,Bucharest,Be an early applicant,2023-11-21
financial accountant senior analyst,Accenture,Bucharest,Actively Hiring,2023-11-08
sales support analyst,ALBALACT,Bucharest,Be an early applicant,2023-11-01
cyber security pmo execution governance,Deutsche Bank,Bucharest,Actively Hiring,2023-11-15
financial analyst,Canonical,Timişoara,Not specified,2023-11-08
contabil accountant,TPA Romania,Bucharest,Not specified,2023-08-24
enterprise data architect,Deutsche Bank,Bucharest,Actively Hiring,2023-10-23
financial controller,Hipo.ro Jobs,Curtea de Argeş,Be an early applicant,2023-10-25
senior commercial project controller,Siemens Energy,Bucharest Metropolitan Area,Be an early applicant,2023-11-15
finance business partner,NN,Bucharest,Actively Hiring,2023-11-08
general ledger accountant,Ericsson,Bucharest,Not specified,2023-11-20
business financial controller,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-25
credit analyst,Allianz Trade in Romania,Romania,Not specified,2023-11-08
junior trader dubai uae,Cobblestone Energy,Bucharest,Be an early applicant,2023-10-23
senior analyst fpa,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-19
contract manager,Tremend Software Consulting,Bucharest Metropolitan Area,Actively Hiring,2023-10-23
retail banking officer galati,First Bank SA,Galaţi,Be an early applicant,2023-11-15
business consultant erp implementation,TotalSoft,Bucharest Metropolitan Area,Not specified,2023-11-15
payments specialist,Procter & Gamble,Bucharest,Actively Hiring,2023-10-28
sales account officer mangalia,Hipo.ro Jobs,Mangalia,Be an early applicant,2023-10-23
senior associate accounting regulatory advisory financial institutions digital enthusiast,PwC Romania,Bucharest,Be an early applicant,2023-11-15
senior accountant,BNP Paribas,Bucharest,Be an early applicant,2023-10-23
commercial project manager,Sobi - Swedish Orphan Biovitrum AB (publ),Timisoara Metropolitan Area,Be an early applicant,2023-11-20
controller,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-08
senior accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-20
accounts receivable specialist,Huf Group,Timişoara,Actively Hiring,2023-11-15
finance gbs consultant,EY,Bucharest,Actively Hiring,2023-11-18
purchase specialist,LANCO Romania,Tălmaciu,Actively Hiring,2023-11-08
treasury corporate finance analyst,AUTO1 Group,Bucharest,Actively Hiring,2023-11-01
team leader accounts receivable,Siemens Energy,Bucharest,Actively Hiring,2023-11-15
project controller real estate,Siemens Energy,Bucharest Metropolitan Area,Be an early applicant,2023-11-15
business consultant charisma medical software,TotalSoft,Bucharest,Be an early applicant,2023-07-25
credit analyst,Prima Finantare,Iasi Metropolitan Area,Be an early applicant,2023-10-28
fraud risk analyst online casino internal,Ezugi,Voluntari,Be an early applicant,2023-10-23
manager finance,Copeland,Cluj-Napoca,Actively Hiring,2023-10-28
accounts payable analyst payments,BAT,Bucharest,Be an early applicant,2023-11-20
accountant,Hipo.ro Jobs,Oradea,Be an early applicant,2023-10-23
general ledger accountant frenchspeaking remote,Webhelp,Romania,Actively Hiring,2023-11-20
financial controlling expert,Allianz Services,Bucharest,Be an early applicant,2023-10-23
senior controller,Undelucram.ro,Timisoara Metropolitan Area,Be an early applicant,2023-11-19
accountant,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-20
technical account manager project manager cluj romania,Global App Testing,Cluj-Napoca,Not specified,2023-10-23
financial controller snow,Allianz Services,Bucharest Metropolitan Area,Actively Hiring,2023-11-20
controller,Allianz Trade in Romania,Bucharest,Be an early applicant,2023-10-23
business development eedenbull,PayTech Group,Bucharest,Be an early applicant,2023-09-23
strategy operations manager risk,Revolut,Romania,Actively Hiring,2023-11-19
etrmctrm business analyst,Infosys,Bucharest,Be an early applicant,2023-11-15
lead internal auditor,Alstom,Cluj-Napoca,Be an early applicant,2023-11-17
accountant arad site,Antal International,Arad,Be an early applicant,2023-10-23
senior accountant,Nestwise Trading,Constanţa,Be an early applicant,2023-11-19
general ledger accountant,VON Consulting,Bucharest,Be an early applicant,2023-07-25
market development lead southeastern europeremote,ZEN.COM,Bucharest,Not specified,2023-09-23
pl sql developer,EDUROM,Bucharest Metropolitan Area,Actively Hiring,2023-11-19
financial controller,Worldline,Bucharest,Be an early applicant,2023-09-23
transactions specialist,Temps HR,Bucharest Metropolitan Area,Be an early applicant,2023-11-15
client advisor english remote,CGS Romania,Bucharest,Be an early applicant,2023-11-01
operation controller,Air Liquide,Bucharest,Actively Hiring,2023-10-23
gas spot trader dubai uae,Cobblestone Energy,Bucharest,Be an early applicant,2023-06-25
group payroll administration manager romania,Alexandrion Group,Ploieşti,Be an early applicant,2023-11-17
financial controller,Allianz Trade in Romania,Bucharest,Not specified,2023-03-27
sales consultant,ICAP CRIF,Bucharest,Actively Hiring,2023-11-08
senior finance controller skyvera remote year usd,Crossover,Bucharest,Not specified,2023-11-21
junior auditor financial services industry clujnapoca office,ACCA Careers,Cluj-Napoca,Be an early applicant,2023-11-17
collections specialist,Diversey Europe,Bucharest,Actively Hiring,2023-11-08
traditional trade channel manager,Bergenbier S.A.,Bucharest,Not specified,2023-11-08
accountant,Euronet EFT Segment,Bucharest,Actively Hiring,2023-11-15
portfolio success manager englishspeaking pm,Viseven,Bucharest,Not specified,2023-10-23
business warehouse sap specialist,Alstom,Cluj-Napoca,Actively Hiring,2023-11-19
risk compliance manager,Societe Generale Global Solution Centre,Bucharest,Actively Hiring,2023-11-08
specialist risk management,CREDIT EUROPE BANK (ROMANIA) S.A.,Bucharest,Not specified,2023-11-17
senior accounts payable,Sales Consulting,Cluj-Napoca,Be an early applicant,2023-11-18
hr generalist,Emma – The Sleep Company,Bucharest,Be an early applicant,2023-09-23
senior financial controller,Worldline,Bucharest,Be an early applicant,2023-11-01
sap co mm wm consultant,QUALITANCE,Bucharest,Be an early applicant,2023-10-23
european sports trader,Kambi,Bucharest,Not specified,2023-11-08
contabil junior franceza engleza bb,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
project leader shana rollout,Bosch Romania,Timişoara,Be an early applicant,2023-11-17
accounting assistant,Marina Travel ehf,Iaşi,Be an early applicant,2023-11-19
fpa analyst,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-18
fpa analyst,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-15
senior corporate finance analyst,BAT,Bucharest,Actively Hiring,2023-11-15
corporate relationship manager calarasi,BCR,Călăraşi,Be an early applicant,2023-11-15
demand planning specialist,PepsiCo,Bucharest,Actively Hiring,2023-11-15
hr generalist,Fall Creek®,Moara Vlăsiei,Actively Hiring,2023-11-15
chief staff kyu,Societe Generale Global Solution Centre Romania,Bucharest,Be an early applicant,2023-11-08
senior buyer frenchenglish,Alstom,Cluj-Napoca,Actively Hiring,2023-11-08
accounting analyst,Molson Coors GBS,Bucharest,Be an early applicant,2023-11-20
office manager,KONEM INVEST,Brasov Metropolitan Area,Actively Hiring,2023-11-18
internal audit sox consultant,Genpact,Romania,Actively Hiring,2023-11-08
business sales analyst,OLX,Bucharest,Actively Hiring,2023-11-08
business development coordinator,Globe Williams International,Bucharest Metropolitan Area,Be an early applicant,2023-11-21
chief accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-09-23
senior hr reporting controller,BNP Paribas,Bucharest,Be an early applicant,2023-08-24
field sales executive brasov,Viva.com,Braşov,Actively Hiring,2023-11-08
procurement analyst part time frexl,Human Direct,Cluj-Napoca,Be an early applicant,2023-10-23
policy privacy compliance lead,_VOIS,Bucharest,Actively Hiring,2023-11-01
accounts receivable accountant contracts billing,Endava,Cluj-Napoca,Be an early applicant,2023-11-08
risk analyst hybrid,BNP Paribas,Bucharest,Be an early applicant,2023-10-23
intercompany finance analyst,BAT,Bucharest,Actively Hiring,2023-11-15
global graduate dbs finance,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-07-25
rollout expert purchasing ip,Bosch Romania,Timişoara,Be an early applicant,2023-11-17
financial reporting analyst,Societe Generale,Bucharest,Be an early applicant,2023-09-23
contabil ef,Professional HR Agency,Sector 1,Be an early applicant,2023-11-01
senior accountant,Cicor Group,Arad,Be an early applicant,2023-11-15
finance content editor seo,HelpMeChoose,Romania,Be an early applicant,2023-10-28
project controller,Siemens Energy,Bucharest,Actively Hiring,2023-11-15
travel officer,Endava,Cluj-Napoca,Actively Hiring,2023-11-08
senior finance analyst,Sales Consulting,Cluj-Napoca Metropolitan Area,Be an early applicant,2023-10-25
credit controller,Mood Media,Bucharest,Be an early applicant,2023-11-01
senior business controller,DB Schenker,Bucharest,Be an early applicant,2023-11-19
property senior accountant,ALTEX Romania,Bucharest,Be an early applicant,2023-11-08
property accountant prahova value centre,MAS PLC,Ploiesti Metropolitan Area,Be an early applicant,2023-10-25
regional finance category fpa business partner,Kellanova,Bucharest,Be an early applicant,2023-10-23
general accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-25
senior business controller,Worldline,Bucharest,Actively Hiring,2023-09-23
finance level controller,Societe Generale,Bucharest,Be an early applicant,2023-11-01
senior product manager lending,BillEase,Romania,Be an early applicant,2023-10-28
senior analyst fpa,The Goodyear Tire & Rubber Company,Bucharest,Be an early applicant,2023-11-08
solution business analyst,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
customer operations specialist graduate program,HP,Bucharest Metropolitan Area,Not specified,2023-11-15
inventory accounting analyst,SLB,Bucharest,Be an early applicant,2023-11-16
kyc specialist wholesale banking french,Societe Generale Global Solution Centre Romania,Bucharest,Actively Hiring,2023-11-08
property accountant alba iulia,MAS PLC,Alba Iulia,Be an early applicant,2023-11-08
senior expert rr excellence,OMV Petrom,Bucharest,Actively Hiring,2023-11-01
senior financial controllerms,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-25
technical business analyst data managementing hubs romania,ING Hubs Romania,Bucharest,Actively Hiring,2023-11-08
contabil manager,Grant Thornton Romania,Bucharest,Be an early applicant,2023-11-15
accounts payable analyst,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-15
export delivery center senior accountant,PwC Romania,Bucharest,Actively Hiring,2023-10-23
data analyst,Allianz Services,Bucharest,Actively Hiring,2023-10-23
junior accountant accounts receivable fmd,Awin Global,Iaşi,Be an early applicant,2023-11-19
financial reporting manager trilogy remote year usd,Crossover,Bucharest,Be an early applicant,2023-11-21
controller internal control department,Garanti BBVA Romania,Bucharest,Actively Hiring,2023-11-15
senior quality assurance manager,MHC - Romania,Romania,Actively Hiring,2023-11-21
personal banker sucursale bucuresti,Libra Internet Bank,Bucharest,Be an early applicant,2023-10-23
financial analyst,DXC Technology,Bucharest,Be an early applicant,2023-11-08
property manager,MAS PLC,Iaşi,Be an early applicant,2023-11-15
senior planning reporting analyst,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
cto project management analyst,Deutsche Bank,Bucharest,Actively Hiring,2023-09-23
senior accountant hybrid,TELUS International Romania,Bucharest,Actively Hiring,2023-11-01
project manager photovoltaic wind projects development,Adecco,Bucharest,Actively Hiring,2023-11-08
financial systems senior manager,WhiteCrow Research,Bucharest,Be an early applicant,2023-10-23
financial advisor,NN,Sibiu,Be an early applicant,2023-11-20
economist exciting opportunity rapidly expanding romanian city,Antal International,Alba Iulia,Be an early applicant,2023-10-23
accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
product senior actuary,MetLife,Bucharest,Be an early applicant,2023-11-01
recruitment consultant home office,Sowelo Consulting sp. z o.o. sp. k.,Bucharest,Actively Hiring,2023-11-18
application support engineer,OPEN,Bucharest,Actively Hiring,2023-10-23
accounts payable analyst english speaker,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-18
fpa analyst,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-08
complex investigations manager,Revolut,Romania,Actively Hiring,2023-11-08
commercial director gas trading bucharest romania,Antal International,Bucharest,Actively Hiring,2023-08-24
senior holding accountant digital,LeasePlan,Bucharest,Be an early applicant,2023-10-23
angajm junior financial controller,Hipo.ro Jobs,Ploieşti,Be an early applicant,2023-11-18
accounts payable clerk,Veeam Software,Bucharest,Actively Hiring,2023-11-08
accounts receivables accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
planning reporting analyst,BAT,Bucharest,Be an early applicant,2023-11-15
general ledger,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-08-24
relationship manager micro clients,UniCredit Bank Romania,Carei,Be an early applicant,2023-11-08
global logistics process management,Hewlett Packard Enterprise,Bucharest Metropolitan Area,Actively Hiring,2023-10-25
administration finance assistant,Discovery Life Sciences,Bucharest,Be an early applicant,2023-11-15
local service business analyst due diligence support ro,SellerPlex,Romania,Not specified,2023-11-15
compliance specialist kyc,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
country controlling support,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-25
credit analyst,Allianz Trade in Romania,Bucharest,Be an early applicant,2023-11-15
business analyst french,Societe Generale Global Solution Centre Romania,Romania,Actively Hiring,2023-11-18
compliance manager mlro team,Revolut,Romania,Actively Hiring,2023-11-15
business controller gmm,Siemens Energy,Bucharest,Be an early applicant,2023-11-15
junior user acquisition specialist meta,Pearson,Romania,Not specified,2023-08-24
accountant,Grafton Recruitment,Sector 2,Be an early applicant,2023-11-15
kyc wholesale cfa analyst,Societe Generale Global Solution Centre Romania,Bucharest,Be an early applicant,2023-11-19
revenue accountant,Canonical,Cluj-Napoca,Be an early applicant,2023-11-21
junior risk analyst,Dentons,Bucharest,Actively Hiring,2023-07-25
risk analyst wholesale,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
accounts receivable french,WNS Global Services,Bucharest,Be an early applicant,2023-11-15
sales support analyst,Compania Indiilor Orientale (CIO),Bucharest Metropolitan Area,Be an early applicant,2023-11-20
business functional analyst,Deutsche Bank,Bucharest,Actively Hiring,2023-10-23
senior risk strategies monitoring reporting officer,UNICREDIT LEASING S.P.A.,Bucharest,Not specified,2023-11-08
senior account manager,Viseven,Bucharest,Not specified,2023-10-23
senior large corporate relationship manager specialized lending department,OTP Bank Romania,Bucharest Metropolitan Area,Actively Hiring,2023-11-15
accountant site arad,Antal International,Arad,Actively Hiring,2023-08-24
pilot supplier risk team management horse,Renault Group,Piteşti,Actively Hiring,2023-11-08
sap finance control consultant,Q_PERIOR Romania,Cluj,Be an early applicant,2023-11-15
specialist sistem asigurari corporate,Generali,Bucharest Metropolitan Area,Actively Hiring,2023-11-08
contabil junior,BAT,Bucharest,Be an early applicant,2023-11-17
review generation funnel ecommerce health brand ro,SellerPlex,Romania,Be an early applicant,2023-11-01
global head fraud,Paymentology,Bucharest,Not specified,2023-08-24
senior financial controller,Worldline,Bucharest,Be an early applicant,2023-10-23
senior accountant,ScaleneWorks People Solutions LLP,Bucharest,Be an early applicant,2023-09-23
senior accountant,GABTEO HR,Bucharest,Be an early applicant,2023-10-25
data scientist risk,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
senior buyer frenchenglish,Alstom,Cluj-Napoca,Be an early applicant,2023-11-17
tagetik consultant,Delbridge Solutions,Bucharest,Be an early applicant,2023-10-23
cost accounting analyst,SLB,Bucharest,Be an early applicant,2023-11-19
senior gl accountant working schedule pm,GSD Solutions,Romania,Actively Hiring,2023-11-17
test automation engineer,BNP Paribas Personal Finance,Bucharest,Actively Hiring,2023-11-08
credit analyst,Allianz Trade in Romania,Bucharest,Not specified,2023-11-08
back office credit officer,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
lead coordinator service delivery,Colt Technology Services,Sibiu,Be an early applicant,2023-11-20
business risk manager finance,Revolut,Romania,Be an early applicant,2023-11-20
business system analyst,Grid Dynamics,Bucharest,Actively Hiring,2023-11-15
back office risk officer,Allianz Trade in Romania,Romania,Be an early applicant,2023-03-27
accountant hr responsible,Royal School in Transylvania,Cluj,Be an early applicant,2023-11-20
business development manager simracing cockpits,ASBIS,Romania,Actively Hiring,2023-11-01
sports risk analyst,EveryMatrix,Bucharest,Be an early applicant,2023-11-08
senior financial analyst,Snyk,Cluj-Napoca,Be an early applicant,2023-11-20
senior manager financial reporting trilogy remote year usd,Crossover,Bucharest,Be an early applicant,2023-11-21
junior auditor,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-08-24
regulatory reporting analyst,Societe Generale,Bucharest,Be an early applicant,2023-11-01
sales executive seaair sales executive land,SEAL Express Logistics,Bucharest Metropolitan Area,Actively Hiring,2023-09-23
fixed assets accounting analyst,"Cameron, a Schlumberger company",Bucharest,Be an early applicant,2023-09-23
financial controller,Autoliv,Braşov,Be an early applicant,2023-11-08
financial analyst,DXC Technology,Bucharest,Be an early applicant,2023-10-23
sr revenue analyst,ACI Worldwide,Timisoara Metropolitan Area,Be an early applicant,2023-11-21
back officer risk officer,Allianz Trade in Romania,Bucharest,Not specified,2023-11-15
senior buyer,Societe Generale,Bucharest,Actively Hiring,2023-11-15
anaplan consultant w frenchitalian,BearingPoint,Bucharest,Actively Hiring,2023-11-01
inhouse legal advisor,Deloitte,Bucharest,Actively Hiring,2023-11-08
procurement controller turda,Antal International,Cluj-Napoca,Be an early applicant,2023-11-01
regulatory reporting analyst,LeasePlan,Bucharest,Be an early applicant,2023-09-23
data analyst internal audit fm,Renault Group,Bucharest,Actively Hiring,2023-11-19
global head fraud remote,Paymentology,Romania,Not specified,2023-11-08
project accountant,SLB,Bucharest,Actively Hiring,2023-10-23
inventory accounting analyst,"Cameron, a Schlumberger company",Bucharest,Be an early applicant,2023-10-23
senior product specialist,Garrett - Advancing Motion,Bucharest,Actively Hiring,2023-11-08
cash bank analyst,Siemens Energy,Bucharest,Actively Hiring,2023-11-08
senior accountant onsite full time,Antal International,Bucharest,Be an early applicant,2023-11-08
applications support,Orion Innovation,Bucharest,Be an early applicant,2023-11-21
directorvp sales business development,Finaro (formerly Credorax),Romania,Be an early applicant,2023-10-28
oracle developer,Pentalog HR,Bucharest,Actively Hiring,2023-11-18
contracting specialist,Tremend Software Consulting,Bucharest Metropolitan Area,Be an early applicant,2023-11-15
senior accountant,EY,Bucharest,Actively Hiring,2023-11-19
group tax manager mwd,SIG Group,Cluj,Be an early applicant,2023-11-17
enterprise resources planning consultant,OC Prod,Bucharest,Actively Hiring,2023-11-08
wholesale finance manager,Emma – The Sleep Company,Bucharest,Not specified,2023-09-23
junior accountant,Alexa & Partners,Moșnița Nouă,Be an early applicant,2023-11-21
project controller finance,Siemens Energy,Bucharest,Actively Hiring,2023-11-19
coordinator strategy remoto,Pearson,Braşov,Be an early applicant,2023-11-15
junior audit analyst english regional audit delivery center,Deloitte,Bucharest,Actively Hiring,2023-11-15
junior data management analyst,BAT,Bucharest,Actively Hiring,2023-11-15
senior performance controller,Siemens Energy,Bucharest,Be an early applicant,2023-10-28
senior accountant romania,Hunters Group,Bucharest,Be an early applicant,2023-10-23
financial analyst,Vertiv,Cluj-Napoca,Be an early applicant,2023-11-01
accounts receivable analyst,Siemens Energy,Bucharest,Be an early applicant,2023-10-28
director financial planning analysis trilogy remote year usd,Crossover,Bucharest,Be an early applicant,2023-11-21
sap consultant finance hdmpc,Human Direct,Cluj-Napoca,Not specified,2023-04-26
continuous improvement lead,Societe Generale,Bucharest,Actively Hiring,2023-05-26
accounts payable agent french,WSP,Romania,Actively Hiring,2023-11-01
internal auditor years contract,Garrett - Advancing Motion,Bucharest,Actively Hiring,2023-11-01
compliance specialist,Revel,Bucharest,Actively Hiring,2023-11-15
research analyst romanian,The Search Group (Global) Limited,Bucharest,Not specified,2023-07-25
international internal auditor,Allianz Services,Bucharest Metropolitan Area,Actively Hiring,2023-11-20
project controller,Alstom,Bucharest,Actively Hiring,2023-11-18
cyber security manager vodafone networks,_VOIS,Bucharest,Actively Hiring,2023-11-01
network economics modelling projects manager,Orange Services,Bucharest Metropolitan Area,Actively Hiring,2023-11-19
key account manager toys modern trade bucuresti,INTERBRANDS ORBICO,Bucharest,Be an early applicant,2023-11-01
accounts receivable accountant revenue operational,Endava,Cluj-Napoca,Be an early applicant,2023-11-08
general ledger accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
transformation manager,Allianz Services,Bucharest,Actively Hiring,2023-09-23
consultant financiar,KIWI FINANCE,Timişoara,Be an early applicant,2023-11-15
property manager pleiades residence,MAS PLC,Ploieşti,Be an early applicant,2023-11-20
finance business partner cee,Kramp,Bucharest,Be an early applicant,2023-11-17
treasury analyst,UiPath,Bucharest,Actively Hiring,2023-11-19
accounting supervisor,A.P. Moller - Maersk,Constanţa,Be an early applicant,2023-11-15
senior business analyst bolt market,Bolt,Bucharest,Not specified,2023-11-18
junior commercial project controller,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
business reporting specialist,OTP Bank Romania,Bucharest,Actively Hiring,2023-11-08
business excellence manager,BAT,Bucharest,Actively Hiring,2023-11-15
collection officer,APS Romania,Iaşi,Be an early applicant,2023-09-23
revenue accountant,Canonical,Bucharest,Be an early applicant,2023-11-21
senior accountant,Antal International,Bucharest,Be an early applicant,2023-10-25
retail leasing specialist era shopping park,MAS PLC,Iasi Metropolitan Area,Actively Hiring,2023-11-08
business support controller french,Michelin,Voluntari,Be an early applicant,2023-11-20
customer services xaas governance lead,Pentalog HR,Bucharest Metropolitan Area,Be an early applicant,2023-11-15
deputy chief accountant,Leroy Merlin,Bucharest,Be an early applicant,2023-11-15
aml analyst,Dentons,Bucharest,Actively Hiring,2023-07-25
risk analyst information security,Libra Internet Bank,Bucharest,Actively Hiring,2023-11-08
financial analyst iii,DXC Technology,Bucharest,Be an early applicant,2023-10-23
global optics photonics category sr manager,MKS Instruments,Romania,Be an early applicant,2023-10-28
application backend specialist tagetik,BearingPoint,Romania,Actively Hiring,2023-10-23
product manager kids app,Pearson,Romania,Not specified,2023-10-23
finance accountant fixedterm months job,NTT DATA Romania,Bucharest,Actively Hiring,2023-11-15
senior internal communication engagement officer,BNP Paribas,Bucharest,Actively Hiring,2023-09-23
credit analyst english,Michelin,Voluntari,Actively Hiring,2023-10-23
junior client service consultant full time hybrid,NielsenIQ,Bucharest,Actively Hiring,2023-10-28
chief accountant,SGS,Bucharest,Actively Hiring,2023-07-25
key account manager groceries bucharest,Glovo,Bucharest,Not specified,2023-11-08
data engineer,Mindera,Cluj-Napoca,Actively Hiring,2023-10-23
junior accountant,Adecco,Bucharest,Be an early applicant,2023-10-23
auditor,Tiriac Group,Bucharest,Actively Hiring,2023-11-01
financial planning analyst,The Goodyear Tire & Rubber Company,Bucharest,Be an early applicant,2023-11-21
