Job,Company,Location,Status,Date
strategy forecasting manager,Garrett - Advancing Motion,Bucharest Metropolitan Area,Actively Hiring,2023-11-15
financial controller,Antal International,Bucharest,Be an early applicant,2023-11-08
marketing manager,EDUROM,Bucharest,Actively Hiring,2023-10-25
reporting analyst hybrid bucharest,Genpact,Bucharest,Actively Hiring,2023-11-17
fpa specialist,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-20
house accounting consultant,Mazars in Romania,Bucharest,Actively Hiring,2023-11-01
senior corporate financial analyst,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
f financial insurance associate,Spotawheel,Bucharest,Not specified,2023-06-25
continuous improvement lead,Societe Generale Global Solution Centre Romania,Bucharest Metropolitan Area,Actively Hiring,2023-11-19
financial accounting manager,GABTEO HR,Bucharest,Actively Hiring,2023-10-23
logistics analyst global network management center,Expeditors,Bucharest,Actively Hiring,2023-11-01
chief accountant,"First Brands Group, LLC",Cristian,Actively Hiring,2023-10-25
financial accountant,Accenture,Bucharest,Actively Hiring,2023-10-28
credit analyst,AllCloud,Bucharest,Actively Hiring,2023-11-01
financial assistant,Sterling Cruise,Voluntari,Be an early applicant,2023-11-15
jr financial controller,interpool HR,Bucharest,Actively Hiring,2023-11-01
financial controller financial reporting,Revolut,Romania,Actively Hiring,2023-11-08
accountant,Mantu,Bucharest,Actively Hiring,2023-11-15
chief executive officer,SomProduct,Cluj-Napoca Metropolitan Area,Actively Hiring,2023-10-23
junior accountant,Accace,Bucharest,Be an early applicant,2023-08-24
demand planning manager,PepsiCo,Bucharest,Be an early applicant,2023-11-21
office manager,Tradeshift,Bucharest,Not specified,2023-11-15
fpa business process expert,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-08
finance business partner,Vodafone,Bucharest,Be an early applicant,2023-11-01
finance accounting manager,Procter & Gamble,Bucharest,Actively Hiring,2023-08-24
junior accountant,Ness Digital Engineering Romania,Timişoara,Actively Hiring,2023-11-18
