Title,JobTitle(Grouped),Position,Company,Location,City,HiringStatus,Date,Num1,Time,Num2,Days,DateSince,DateSinceFormated,,1 day,
HR Analyst Reporting & Analytics,HR Analyst ,Not specified,The Goodyear Tire & Rubber Company,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Financial Analyst,Financial Analyst,Not specified,Canonical,"Bucharest, Bucharest, Romania",Bucharest,Not specified,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Finance Manager,Finance Manager,Head,The Goodyear Tire & Rubber Company,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Finance Business Partner,Finance Business Partner,Not specified,Vodafone,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
DEVELOPMENT DIRECTOR ROMANIA,Development Director,Head,KALE Recruitment,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Senior Cluster Financial Controller,Financial Controller,Senior,DB Schenker,"Bucharest, Romania",Bucharest,Actively Hiring,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Accounts Payable Accounts Receivable Specialist,Accounts Payable Accounts Receivable Specialist,Senior,Yellow Tree Group | Real Estate,Bucharest Metropolitan Area,Bucharest,Actively Hiring,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Corporate Finance Manager,Finance Manager,Head,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Relationship Manager Corporate Banking,Relationship Manager ,Head,UniCredit Bank Romania,"Bacău, Romania",Bacău,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Project Portfolio Manager,Project Portfolio Manager,Head,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Senior Auditor,Auditor,Senior,MetLife,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Senior Financial Controller,Financial Controller,Senior,Softelligence,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Senior Financial Specialist,Financial Specialist,Senior,Coral Travel Romania,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Senior Accountant,Accountant,Senior,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Finance Manager,Finance Manager,Head,The Goodyear Tire & Rubber Company,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Junior Cost Controller,Financial Controller,Junior,ALBALACT,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Chief Administrative Officer to the CEO,Chief Administrative Officer ,Head,Emma – The Sleep Company,"Bucharest, Bucharest, Romania",Bucharest,Not specified,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Senior Business Consultant - Financial Solutions Implementation,Financial Consultant ,Senior,TotalSoft,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Financial Controller,Financial Controller,Not specified,Atos,"Timişoara, Timiş, Romania",Timişoara,Actively Hiring,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Finance Manager - ON-SITE,Finance Manager ,Head,Antal International,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Finance Analyst,Financial Analyst,Not specified,Mambu,Romania,Not specified,Not specified,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
ERP Consultant,Financial Consultant,Not specified,SoftOne Technologies S.A.,"Bucharest, Bucharest, Romania",Bucharest,Not specified,3 months ago,3,month,30,90.00,45165.00,8/27/2023,,,
"Financial Controller - France, Belgium & Luxembourg",Financial Controller ,Not specified,RWS Group,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
General Ledger with English,Accountant ,Not specified,WNS Global Services,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Cost Controller (Oil and Gas company),Financial Controller ,Not specified,TotalSoft,Bucharest Metropolitan Area,Bucharest,Not specified,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
R&D Controller,Financial Controller,Not specified,Bosch Romania,"Timişoara, Timiş, Romania",Timişoara,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
BI Consultant,Financial Consultant,Not specified,Delbridge Solutions,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Expert Group Accounting, Accounting Expert,Senior,OMV Petrom,"Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Senior HR Reporting and Controller,Financial Controller,Senior,BNP Paribas,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Controller Reporting MTS France,Financial Controller,Not specified,Worldline,"Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Payroll Officer,Payroll Officer,Not specified,TotalSoft,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
RETAIL BANKING OFFICER BUCURESTI,Banking Officer,Not specified,First Bank SA,"Bucharest, Romania",Bucharest,Be an early applicant,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Corporate Finance Executive,Corporate Finance Executive,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Accountant,Accountant,Not specified,INTERBRANDS ORBICO,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Finance Development Program for Fresh Graduates,Finance Development Intern,Junior,Dell Technologies,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
SME&Corporate Credit Analyst,Corporate Credit Analyst,Not specified,Patria Bank,Bucharest Metropolitan Area,Bucharest,Not specified,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Finance & Accounting Specialist,Accounting Expert,Senior,MonkeyRecruit,"Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
JUNIOR ACCOUNTANT,Accountant,Junior,GABTEO HR,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Procurement with English,Procurement ,Not specified,WNS Global Services,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Treasury Reporting Analyst,Treasury Reporting Analyst,Not specified,888Sparkware,"Bucharest, Romania",Bucharest,Actively Hiring,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Finance controller,Financial Controller,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Chief Accountant,Accountant,Head,RIAN & PARTNERS,"Mioveni, Argeş, Romania",Mioveni,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Reporting Specialist,Reporting Specialist,Senior,_VOIS,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
TREASURY AND CASH MANAGEMENT SUPERVISING MANAGER,Treasury and Cash Supervising Manager,Head,MEGA IMAGE - Ahold Delhaize Group,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Controlling and Reporting Analyst,Controlling and Reporting Analyst,Not specified,Allianz Services,Bucharest Metropolitan Area,Bucharest,Actively Hiring,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Commercial Finance Manager,Finance Manager,Head,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Financial Accountant I,Accountant ,Not specified,Plexus Corp.,"Oradea, Bihor, Romania",Oradea,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Commercial Finance Analyst,Financial Analyst,Not specified,SLB,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Accounting Project Coordinator,Accounting Project Coordinator,Head,UniCredit Bank Romania,"Bucharest, Romania",Bucharest,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Junior Auditor,Auditor,Junior,Mazars in Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
EMEA GL Accountant,Accountant,Not specified,Stefanini EMEA,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Associate - Banking & Finance (m|f|x),Finance Associate,Not specified,Schoenherr Attorneys at Law,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Responsable Contrôle de Gestion Importateurs Europe,Financial Controller,Not specified,Renault Group,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Credit Risk Analyst,Risk Analyst,Not specified,ManpowerGroup,Bucharest Metropolitan Area,Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Financial Solutions Enterprise Account Manager,Financial Account Manager,Head,TotalSoft,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
360 Recruitment Manager - Relocation to Qatar - Oil and Gas,Recruitment Manager ,Head,NES Fircroft,"Bucharest, Romania",Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Junior Financial Analyst in Solution Business,Financial Analyst ,Junior,Siemens Energy,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Controlling Analyst with French,Controlling Analyst ,Not specified,Michelin,Bucharest Metropolitan Area,Bucharest,Be an early applicant,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Risk Analyst - Market & Liquidity,Risk Analyst ,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Financial Accountant manager,Financial Accountant Manager,Head,Chop Chop by Urban Logistic,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Senior Accountant,Accountant,Senior,Mazars in Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Accounts Payable,Accounts Payable,Not specified,Sensience,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Chief Accountant,Accountant,Head,Antal International,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Project Controller,Financial Controller,Not specified,Cegeka,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Risk Assurance Services- Junior Internal Auditor,Auditor,Junior,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Senior Sales Account Manager,Sales Account Manager,Senior,EXANTE,"Bucharest, Bucharest, Romania",Bucharest,Not specified,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Junior Banker - National hire,Junior Banker,Junior,BRD - Groupe Societe Generale,"Bucharest, Romania",Bucharest,Be an early applicant,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Financial Controller,Financial Controller,Not specified,OnAir Entertainment,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Junior accountant,Accountant,Junior,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Accounts Payable Specialist,Accounts Payable ,Senior,ComplyAdvantage,"Cluj, Romania",Cluj Napoca,Not specified,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Risk Manager,Risk Manager,Head,Garanti BBVA Leasing Romania,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Business Administrator,Business Administrator,Not specified,Colt Technology Services,"Sibiu, Romania",Sibiu,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Project Manager,Project Manager,Head,Open Systems International,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Actively Hiring,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Supply Chain Manager,Supply Chain Manager,Head,ManpowerGroup,"Sibiu, Romania",Sibiu,Actively Hiring,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Business Analyst,Financial Analyst,Not specified,ALTEN Romania,"Bucharest, Romania",Bucharest,Actively Hiring,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Senior Accountant,Accountant,Senior,Adecco,"Curtea de Argeş, Argeş, Romania",Curtea de Argeş,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Business Consultant - ERP Implementation,Financial Consultant ,Not specified,TotalSoft,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Mergers and Acquisitions Manager (Eastern Europe and Mediterranean),Mergers and Acquisitions Manager ,Head,KONE,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Account Manager,Account Manager,Head,McCann Worldgroup Romania,"Bucharest, Romania",Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Finance Development Program for Fresh Graduates,Finance Development Intern,Junior,Dell Technologies,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Procurement Officer,Procurement Officer,Not specified,Sameday Romania,"Bucharest, Romania",Bucharest,Not specified,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Accounts Payable Clerk,Accounts Payable,Not specified,Nidec Oradea,"Oradea, Bihor, Romania",Oradea,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Credit Analyst,Credit Analyst,Not specified,Core Recruit,"Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Junior Auditor | Financial Services Industry | Cluj-Napoca Office,Auditor,Junior,Deloitte,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Senior Audit Associate - Financial Services,Auditor,Senior,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
SR CREDIT RISK OFFICER,Risk Officer,Senior,First Bank SA,"Bucharest, Romania",Bucharest,Actively Hiring,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Financial Services Sustainability Consultant – ESG,Financial Consultant ,Not specified,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Sr. Customer Data Analyst,Data Analyst,Senior,Alpha Bank Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Administrative Assistant - G4 (Roster),Administrative Assistant ,Junior,"UNHCR, the UN Refugee Agency","Bucharest, Bucharest, Romania",Bucharest,Not specified,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Head of Administration,Head of Administration,Head,Stada România,"Turda, Cluj, Romania",Turda,Actively Hiring,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
General Ledger Accountant,Accountant ,Not specified,Huawei,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Finance Controller Germany,Financial Controller ,Not specified,Siemens Energy,Bucharest Metropolitan Area,Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Finance Administrator,Finance Administrator,Not specified,HICX,"Constanţa, Constanţa, Romania",Constanţa,Not specified,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Financial Planning & Analysis Junior (Temporary),Financial Analyst,Junior,JTI (Japan Tobacco International),"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Accounting Analyst (French),Accounting Analyst ,Not specified,Societe Generale Global Solution Centre Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Group Credit Manager,Credit Manager,Head,Scandia Food,"Bucharest, Romania",Bucharest,Not specified,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Junior Accounting Consultant,Financial Consultant,Junior,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Treasury Manager (EU Bank),Treasury Manager,Head,Revolut,Romania,Not specified,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Settlement and Reconciliation Officer,Settlement and Reconciliation Officer,Not specified,Twispay,Bucharest Metropolitan Area,Bucharest,Not specified,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Finance Academy - Graduates Programme,Finance Academy Intern,Junior,Endava,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Business Analyst,Financial Analyst,Not specified,NETOPIA Payments,"Bucharest, Romania",Bucharest,Actively Hiring,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Finance Controlling Expert,Finance Controlling Expert,Senior,Allianz Services,Bucharest Metropolitan Area,Bucharest,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Accountant,Accountant,Not specified,Remote,Bucharest Metropolitan Area,Bucharest,Not specified,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Financial Analyst,Financial Analyst,Not specified,Canonical,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Not specified,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Growth Strategy Analyst,Growth Strategy Analyst,Not specified,Salt Bank,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Customer Operation Specialist - Graduate Role,Customer Operation Intern,Senior,HP,Bucharest Metropolitan Area,Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Accountant,Accountant,Not specified,Not specified,Bucharest Metropolitan Area,Bucharest,Be an early applicant,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Purchasing Manager,Purchasing Manager,Head,ManpowerGroup,"Bucharest, Romania",Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Financial Controller/Analyst,Financial Controller,Not specified,Hipo.ro Jobs,"Miercurea-Ciuc, Harghita, Romania",Miercurea Ciuc,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Senior Accountant,Accountant,Senior,Adecco,Bucharest Metropolitan Area,Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Power BI Developer (Romania),Power BI Developer ,Not specified,Delbridge Solutions,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Junior Financial Analyst in Solution Business,Financial Analyst,Junior,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Chief Accountant,Accountant,Head,Vola.ro,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Entry Level Model Risk Analyst,Risk Analyst,Junior,BNP Paribas,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Junior Financial Analyst,Financial Analyst,Junior,Vertiv,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Financial Controller [on-site],Financial Controller,Not specified,Antal International,"Harghita, Romania",Not specified,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Senior Accountant,Accountant,Senior,Hays,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Senior Reporting Analyst,Reporting Analyst,Senior,PRO TV,"Bucharest, Romania",Bucharest,Not specified,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Treasurer,Treasurer,Not specified,INTERBRANDS ORBICO,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Senior Account Manager,Account Manager,Senior,EveryMatrix,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Junior Auditor,Auditor,Junior,Grant Thornton Romania,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,5 months ago,5,month,30,150.00,45105.00,6/28/2023,,,
Information Technology Service Delivery Manager,Information Technology Service Delivery Manager,Head,Ahold Delhaize,"Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Legal Counsel,Legal Counsel,Not specified,Printec Group,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Accounts Payable - 1 year contract,Accounts Payable ,Not specified,Garrett - Advancing Motion,Bucharest Metropolitan Area,Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Deputy Chief Accountant,Accountant,Head,INTERBRANDS ORBICO,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Executive Assistant to CEO,Executive Assistant to CEO,Head,Help Net Farma,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Junior Financial Analyst,Financial Analyst,Junior,Vertiv,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Resource Manager,Resource Manager,Head,ReBound,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Junior Accountant,Accountant,Junior,Ness Digital Engineering,"Iaşi, Iaşi, Romania",Iaşi,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Junior Accountant,Accountant,Junior,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Marketing Operations Specialist,Marketing Operations Specialist,Senior,Tradeshift,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Finance Manager,Finance Manager,Head,Exec-Tech,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Finance & Contract Manager (m/f/d),Finance and Contract Manager,Head,GOPA Consulting Group,"Bucharest, Romania",Bucharest,Not specified,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Finance Manager,Finance Manager,Head,The Goodyear Tire & Rubber Company,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Business Analyst,Financial Analyst,Not specified,Yopeso,Romania,Not specified,Not specified,3 months ago,3,month,30,90.00,45165.00,8/27/2023,,,
Retail Collection Officer,Retail Collection Officer,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Accounting Specialist,Accounting Specialist,Senior,Samsung Electronics Romania,"Bucharest, Bucharest, Romania",Bucharest,Not specified,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Senior Associate - Audit and Assurance,Auditor,Senior,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Sales & Account Officer - Bucuresti,Sales and Account Officer ,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Risk Analyst – Risk Projects Unit,Risk Analyst ,Not specified,BRD - Groupe Societe Generale,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Commercial Finance Analyst,Financial Analyst,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Commercial Project Manager,Project Manager,Head,Sobi - Swedish Orphan Biovitrum AB (publ),"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,17 hours ago,17,hour,0.0416667,0.71,45254.29,11/24/2023,,,
Test Analyst,Test Analyst,Not specified,BNP Paribas Personal Finance,"Bucharest, Romania",Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Loan Capital Market Expert,Loan Capital Market Expert,Senior,BCR,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Category Planner,Category Planner,Junior,BAT,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Junior Analyst Accounts Payable with English,Accounts Payable Analyst,Junior,BAT,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Controlling and Reporting Analyst,Controlling and Reporting Analyst,Not specified,Allianz Services,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Growth Manager,Growth Manager,Head,Pearson,Romania,Not specified,Not specified,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Lead Football Trader,Lead Football Trader,Head,EveryMatrix,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Accountant,Accountant,Not specified,Sinova,"Ciulnița, Argeş, Romania",Ciulnița,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
